年度,類別,獎項,得獎名單
101,節目獎,流行音樂節目獎,記憶的鑰匙（內政部警政署警察廣播電臺臺北總臺）
101,節目獎,非流行音樂節目獎,山與山的對話：好好聽客家（環宇廣播事業股份有限公司）
101,節目獎,教育文化節目獎,科科創意研究室（漢聲廣播電臺臺北總臺）
101,節目獎,兒童節目獎,陽光小豆芽（內政部警政署警察廣播電臺臺北總臺）
101,節目獎,少年節目獎,少年NPO（正聲廣播股份有限公司臺北調頻廣播電臺）
101,節目獎,社會關懷節目獎,溫馨快遞（國立教育廣播電臺）
101,節目獎,藝術文化節目獎,世界夢想音樂廳（國立教育廣播電臺）
101,節目獎,綜合節目獎,台灣鹹酸甜（國立教育廣播電臺）
101,節目獎,社區節目獎,台灣鹹酸甜（國立教育廣播電臺）
101,節目獎,廣播劇獎,都會劇場—臺北文學賞（臺北廣播電臺）
101,節目獎,單元節目獎,大夥房下我的歌（竹科廣播股份有限公司）
101,個人獎,流行音樂節目主持人獎,阿國、琇如／中古老歌廳（內政部警政署警察廣播電臺臺北臺）
101,個人獎,非流行音樂節目主持人獎,眭澔平／世界音樂之旅（苗栗正義廣播電台股份有限公司）
101,個人獎,教育文化節目主持人獎,宋銘【宋修聖】、邵文心／香榭大道（漢聲廣播電臺臺北總臺）
101,個人獎,兒童節目主持人獎,小茱姐姐【施賢琴】、小福爾【陳正翰】、小摩斯【郭孔勳】／人人都是大明星（國立教育廣播電臺）
101,個人獎,少年節目主持人獎,蕭曼屏／少年科學週報（國立教育廣播電臺）
101,個人獎,社會關懷節目主持人獎,燕柔【陳燕柔】／溫馨快遞（國立教育廣播電臺）
101,個人獎,藝術文化節目主持人獎,端端【陳端慧】／世界夢想音樂廳（國立教育廣播電臺）
101,個人獎,綜合節目主持人獎,王一明【王騰懋】、梅子【張文玲】／台灣答嘴鼓（台灣聲音廣播興業股份有限公司）
101,個人獎,社區節目主持人獎,潘國正、洪惠冠／愛上新竹（竹科廣播股份有限公司）
101,個人獎,企劃編撰獎,安達【黃裕庭】、采琦【金玉琦】／音樂地圖（內政部警政署警察廣播電臺宜蘭臺）
101,個人獎,音效獎,Arthur【陳冠鳴】、小雨姐姐【陳麗純】／奇幻島（高雄廣播電臺）
101,廣告獎,商品類廣告獎,吳鳳科技大學—出草篇（正聲廣播股份有限公司嘉義廣播電臺）
101,廣告獎,非商品類廣告獎,人聲，以服務為目的！（財團法人中央廣播電臺）
101,電臺獎,電臺臺呼獎,寶島新聲臺呼歌仔戲版（寶島新聲廣播電台股份有限公司）
101,電臺獎,電臺行銷創新獎,「來自全球@祝福 讓世界看見臺灣」國際行銷案（財團法人中央廣播電臺）
101,電臺獎,專業頻道獎,科技人文專業電台（竹科廣播股份有限公司）
101,研究發展獎,研究發展獎,陳冠鳴／雲端廣播策略與實作（高雄市廣播教育協會推薦）
102,節目獎,流行音樂節目獎,音樂地球村（國立教育廣播電臺高雄分臺）
102,節目獎,非流行音樂節目獎,焦點音樂（好家庭廣播股份有限公司）
102,節目獎,教育文化節目獎,老師不在教室（內政部警政署警察廣播電臺總臺）
102,節目獎,兒童節目獎,幸福進行曲（財團法人中央廣播電臺）
102,節目獎,少年節目獎,少年超優SHOW（國立教育廣播電臺）
102,節目獎,社會關懷節目獎,真相與真情（漢聲廣播電臺臺北總臺）
