年度,類別,獎項,得獎名單
101,節目獎,戲劇節目獎,我可能不會愛你（八大電視股份有限公司）
101,節目獎,迷你劇集／電視電影獎,黛比的幸福生活（崗華影視傳播有限公司）
101,節目獎,教育文化節目獎,最後島嶼—台灣防衛戰1950-1955（中天電視股份有限公司）
101,節目獎,科學節目獎,台灣昆蟲 驚豔一百（活水文化事業有限公司）
101,節目獎,兒童少年節目獎,科學小原子（原住民族電視台）
101,節目獎,行腳節目獎,客庄好味道（客家電視台）
101,節目獎,綜藝節目獎,超級模王大道（中國電視事業股份有限公司）
101,節目獎,綜合節目獎,誰來晚餐3+1（財團法人公共電視文化事業基金會）
101,節目獎,動畫節目獎,卡滋幫（財團法人公共電視文化事業基金會）
101,個人獎,戲劇節目男主角獎,陳柏霖／我可能不會愛你（八大電視股份有限公司）
101,個人獎,戲劇節目女主角獎,林依晨／我可能不會愛你（八大電視股份有限公司）
101,個人獎,戲劇節目男配角獎,賈孝國／客家劇場—阿戇妹（內容物數位電影製作有限公司）
101,個人獎,戲劇節目女配角獎,林美秀／我可能不會愛你（八大電視股份有限公司）
101,個人獎,迷你劇集／電視電影男主角獎,陳竹昇／野蓮香（緯來電視網股份有限公司）
101,個人獎,迷你劇集／電視電影女主角獎,周幼婷／黛比的幸福生活（崗華影視傳播有限公司）
101,個人獎,迷你劇集／電視電影男配角獎,喜翔／公視人生劇展—老街狂想曲（如魚得水電影有限公司）
101,個人獎,迷你劇集／電視電影女配角獎,賴曉誼／大愛長情劇展—爸爸加油（財團法人慈濟傳播人文志業基金會）
101,個人獎,戲劇節目導演獎,瞿友寧／我可能不會愛你（八大電視股份有限公司）
101,個人獎,迷你劇集／電視電影導演獎,陳鈺杰／公視學生劇展—小偷（欣恩影視事業股份有限公司）
101,個人獎,非戲劇類節目導演獎,唐振瑜／戀戀金門—落番（財團法人公共電視文化事業基金會）
101,個人獎,戲劇節目編劇獎,徐譽庭／我可能不會愛你（八大電視股份有限公司）
101,個人獎,迷你劇集／電視電影編劇獎,蔡怡芬、朱家麟／公視人生劇展—公主與王子（影童國際有限公司）
101,個人獎,兒童少年節目主持人獎,小兵【薛紀綱】、王湘涵、洪晨穎／下課花路米（財團法人公共電視文化事業基金會）
101,個人獎,行腳節目主持人獎,吳鳳／愛玩客 吳鳳（三立電視股份有限公司）
101,個人獎,綜藝節目主持人獎,澎恰恰、許效舜／超級夜總會（三立電視股份有限公司）
101,個人獎,綜合節目主持人獎,王曉書、陳康、陳濂僑／聽聽看（財團法人公共電視文化事業基金會）
101,個人獎,攝影獎,李偉傑／寶貝台灣系列：九九蜂鷹（財團法人公共電視文化事業基金會）
101,個人獎,剪輯獎,陳曉東、鄭志良、江依庭／跟著賴和去壯遊（客家電視台）
101,個人獎,音效獎,史旻玠、葉約瑟、周震／吉林的月光（崗華影視傳播有限公司）
101,個人獎,燈光獎,許世明／黛比的幸福生活（崗華影視傳播有限公司）
101,個人獎,美術設計獎,吳若昀／公視人生劇展—結婚不結婚（英屬維京群島商星城娛樂股份有限公司台灣分公司）
101,行銷廣告獎,節目行銷獎,我可能不會愛你（八大電視股份有限公司）
101,行銷廣告獎,頻道廣告獎,感謝祖宗十八代（緯來電視網股份有限公司）
101,創新技術獎,創新技術獎,（從缺）
101,特別獎,特別獎,張美瑤、傅培梅
102,節目獎,戲劇節目獎,含苞欲墜的每一天（財團法人公共電視文化事業基金會）
102,節目獎,迷你劇集／電視電影獎,公視人生劇展—權力過程（波谷影片有限公司）
102,節目獎,教育文化節目獎,對焦國寶（財團法人公共電視文化事業基金會）
102,節目獎,科學節目獎,流言追追追（財團法人公共電視文化事業基金會）
102,節目獎,兒童少年節目獎,成語賽恩思（財團法人公共電視文化事業基金會）
102,節目獎,行腳節目獎,MIT台灣誌（中國電視事業股份有限公司）
102,節目獎,綜藝節目獎,金頭腦（超級傳播股份有限公司）
102,節目獎,綜合節目獎,爸媽囧很大（財團法人公共電視文化事業基金會）
102,節目獎,動畫節目獎,再探飛鼠部落（原住民族電視台）
102,個人獎,戲劇節目男主角獎,周渝民／回家（中華電視股份有限公司）
102,個人獎,戲劇節目女主角獎,苗可麗／含笑食堂（三立電視股份有限公司）
102,個人獎,戲劇節目男配角獎,李李仁／回家（萬達超媒體電視股份有限公司）
102,個人獎,戲劇節目女配角獎,劉品言／含苞欲墜的每一天（財團法人公共電視文化事業基金會）
102,個人獎,迷你劇集／電視電影男主角獎,龍劭華／公視人生劇展—喇叭宏的悲喜曲（金享亮企業有限公司）
102,個人獎,迷你劇集／電視電影女主角獎,白冰冰【白雪嬅】／那天媽媽來看我（大夏數位傳播有限公司）
102,個人獎,迷你劇集／電視電影男配角獎,湯志偉／公視人生劇展—權力過程（波谷影片有限公司）
102,個人獎,迷你劇集／電視電影女配角獎,大久保麻梨子／公視人生劇展—愛情替聲（辛建宗電影製作有限公司）
102,個人獎,戲劇節目導演獎,王明台／含苞欲墜的每一天（財團法人公共電視文化事業基金會）
102,個人獎,迷你劇集／電視電影導演獎,范揚仲／公視人生劇展—權力過程（波谷影片有限公司）
102,個人獎,非戲劇類節目導演獎,沈可尚／紀錄觀點—築巢人（七日印象電影有限公司）
102,個人獎,戲劇節目編劇獎,溫郁芳／含苞欲墜的每一天（財團法人公共電視文化事業基金會）
102,個人獎,迷你劇集／電視電影編劇獎,陳佳敏／公視人生劇展—權力過程（波谷影片有限公司）
102,個人獎,兒童少年節目主持人獎,劉清彥、李宣榕／烤箱讀書會（米迦勒傳播事業股份有限公司）
102,個人獎,行腳節目主持人獎,沈文程【周沈文程】／寶島漁很大（三立電視股份有限公司）
102,個人獎,綜藝節目主持人獎,張小燕、黃子佼／紅白紅白我勝利（臺灣電視事業股份有限公司）
102,個人獎,綜合節目主持人獎,曾寶儀／公視藝文大道（財團法人公共電視文化事業基金會）
102,個人獎,攝影獎,李學主／發現—大甲溪（大愛衛星電視股份有限公司）
102,個人獎,剪輯獎,高鳴晟／公視學生劇展—神算（影動亞洲有限公司）
102,個人獎,音效獎,鄧茂茲、高友峰、鎖際昌、羅怡娟、李艾璇／穿越101（財團法人公共電視文化事業基金會）
102,個人獎,燈光獎,鍾瓊婷／公視人生劇展—三朵花純理髮（映畫傳播事業股份有限公司）
102,個人獎,美術設計獎,柯青每／公視人生劇展—仲夏夜府城（安澤映畫有限公司）
102,行銷廣告獎,節目行銷獎,罪美麗（臺灣電視事業股份有限公司）
102,行銷廣告獎,頻道廣告獎,「裝滿的生活時光」—延續自己的聲音篇（客家電視台）
102,創新技術獎,創新技術獎,吉羊數位電影有限公司／3D台灣（吉羊數位電影有限公司）
102,特別貢獻獎,特別貢獻獎,（得獎者） 鳳飛飛【林秋鸞】（台灣飛飛歌友會推薦）
102,特別貢獻獎,特別貢獻獎,盧碧雲（台灣演藝人協會推薦）
103,節目獎,戲劇節目獎,刺蝟男孩（參賽單位：財團法人公共電視文化事業基金會）
103,節目獎,迷你劇集／電視電影獎,公視學生劇展自由人（參賽單位：阿榮企業有限公司）
103,節目獎,教育文化節目獎,聚焦全世界（參賽單位：超級傳播股份有限公司）
103,節目獎,科學節目獎,生命旅程Hello Brain!（參賽單位：東臺傳播股份有限公司）
103,節目獎,兒童少年節目獎,生活裡的科學（參賽單位：財團法人慈濟傳播人文志業基金會）
103,節目獎,行腳節目獎,勝利催落去（參賽單位：財團法人公共電視文化事業基金會）
103,節目獎,綜藝節目獎,超級夜總會（參賽單位：三立電視股份有限公司）
103,節目獎,綜合節目獎,農夫與他的田（參賽單位：財團法人慈濟傳播人文志業基金會）
103,節目獎,動畫節目獎,100個種子的秘密（參賽單位：中華電視股份有限公司）
103,個人獎,戲劇節目男主角獎,李銘順／親愛的，我愛上別人了（報名單位：臺灣電視事業股份有限公司）
103,個人獎,戲劇節目女主角獎,粉紅豬【鍾欣凌】／雨後驕陽（報名單位：臺灣電視事業股份有限公司）
103,個人獎,戲劇節目男配角獎,陳博正／雨後驕陽（報名單位：臺灣電視事業股份有限公司）
103,個人獎,戲劇節目女配角獎,謝瓊煖／客家劇場在河左岸（報名單位：客家電視台）
103,個人獎,迷你劇集／電視電影男主角獎,王瑞【王錫瑞】／公視人生劇展只想比你多活一天（報名單位：影動亞洲有限公司）
103,個人獎,迷你劇集／電視電影女主角獎,尹馨／公視人生劇展回家的女人（報名單位：財團法人公共電視文化事業基金會）
103,個人獎,迷你劇集／電視電影男配角獎,喜翔／菸蒂（報名單位：中國電視事業股份有限公司）
103,個人獎,迷你劇集／電視電影女配角獎,溫貞菱／曉之春（報名單位：中國電視事業股份有限公司）
103,個人獎,戲劇節目導演獎,陳長綸／客家劇場在河左岸（報名單位：客家電視台）
103,個人獎,迷你劇集／電視電影導演獎,柯汶利／公視學生劇展自由人（報名單位：阿榮企業有限公司）
103,個人獎,非戲劇類節目導演獎,吳米森／青春的進擊關於二十，以及。（報名單位：財團法人公共電視文化事業基金會）
103,個人獎,非戲劇類節目導播獎,李麗芳／SuperStar我要當歌手（報名單位：臺灣電視事業股份有限公司）
103,個人獎,戲劇節目編劇獎,王小棣、安哲毅、張可欣、詹俊傑／刺蝟男孩（報名單位：財團法人公共電視文化事業基金會）
103,個人獎,迷你劇集／電視電影編劇獎,陳昱俐／公視學生劇展自由人（報名單位：阿榮企業有限公司）
103,個人獎,教育文化節目主持人獎,簡守信／大愛醫生館（報名單位：財團法人慈濟傳播人文志業基金會）
103,個人獎,兒童少年節目主持人獎,王伯源、陳瑋薇／生活裡的科學（報名單位：財團法人慈濟傳播人文志業基金會）
103,個人獎,行腳節目主持人獎,廖科溢／發現大絲路Ⅱ（報名單位：亞洲衛星電視股份有限公司）
103,個人獎,綜藝節目主持人獎,徐乃麟、曾國城／天才衝衝衝（報名單位：中華電視股份有限公司）
103,個人獎,綜合節目主持人獎,李四端／爸媽囧很大（報名單位：財團法人公共電視文化事業基金會）
103,個人獎,攝影獎,陳俊康、許智為、朱培基、葉道宏／雨後驕陽（報名單位：臺灣電視事業股份有限公司）
103,個人獎,剪輯獎,陳博文、李宜珊／青春的進擊關於二十，以及。（報名單位：財團法人公共電視文化事業基金會）
103,個人獎,音效獎,薛易欣、吳欣穎、余政憲／公視學生劇展自由人（報名單位：阿榮企業有限公司）
103,個人獎,燈光獎,丁海德／客家劇場在河左岸（報名單位：客家電視台）
103,個人獎,美術設計獎,范家綺／慢吞吞小學（報名單位：多多影像製作有限公司）
103,節目行銷獎,節目行銷獎,我的自由年代（參賽單位：三立電視股份有限公司）
103,創新技術獎,創新技術獎,從缺
103,特別貢獻獎,特別貢獻獎,張冰玉【張平】女士黃黎明女士
104,節目獎,戲劇節目獎,16個夏天（參賽單位：聯意製作股份有限公司）
104,節目獎,迷你劇集／電視電影獎,麻醉風暴（參賽單位：財團法人公共電視文化事業基金會）
104,節目獎,教育文化節目獎 ,展翅的生命力（參賽單位：生態主張數位影像有限公司）
104,節目獎,科學節目獎 ,台灣製造大解密（參賽單位：新加坡商全球紀實有限公司台灣分公司）
104,節目獎,兒童少年節目獎,跟著達人追夢趣（參賽單位：客家電視台）
104,節目獎,行腳節目獎 ,勝利催落去（參賽單位：財團法人公共電視文化事業基金會）
104,節目獎,綜藝節目獎,全球中文音樂榜上榜（參賽單位：聯意製作股份有限公司）
104,節目獎,綜合節目獎 ,一字千金（參賽單位：財團法人公共電視文化事業基金會）
104,節目獎,動畫節目獎,觀測站少年（參賽單位：財團法人公共電視文化事業基金會）
104,個人獎,戲劇節目男主角獎,藍正龍／妹妹（報名單位：八大電視股份有限公司）
104,個人獎,戲劇節目女主角獎,朱芷瑩／客家劇場新丁花開（報名單位：客家電視台）
104,個人獎,戲劇節目男配角獎,蘇達／C.S.I.C鑑識英雄（報名單位：中國電視事業股份有限公司）
104,個人獎,戲劇節目女配角獎,許瑋甯／16個夏天（報名單位：聯意製作股份有限公司）
104,個人獎,戲劇節目新進演員獎,從缺
104,個人獎,迷你劇集／電視電影男主角獎,莊凱勛／公視人生劇展回家路上（報名單位：安澤映畫有限公司）
