標題,英文標題,相關連結
馬祖戰地文化,Matsu Battlefield Culture,https://twh.boch.gov.tw/taiwan/summary.aspx?id=12&lang=zh_tw#read
金門戰地文化,Kinmen Battlefield Culture ,https://twh.boch.gov.tw/taiwan/summary.aspx?id=18&lang=zh_tw#read
"淡水紅毛城及其週遭歷史建築群",Tamsui Fort San Domingo and Surrounding Historical Buildings,https://twh.boch.gov.tw/taiwan/summary.aspx?id=8&lang=zh_tw#read
大屯火山群,Datun Volcano Group,https://twh.boch.gov.tw/taiwan/summary.aspx?id=1&lang=zh_tw#read
"樂生療養院",Lo-sheng Sanatorium ,https://twh.boch.gov.tw/taiwan/summary.aspx?id=14&lang=zh_tw#read
水金九礦業遺址,Shuei-Jin-Jiou Mining Sites ,https://twh.boch.gov.tw/taiwan/summary.aspx?id=6&lang=zh_tw#read
桃園臺地陂塘,Taoyuan Tableland Mesa and Pond,https://twh.boch.gov.tw/taiwan/summary.aspx?id=15&lang=zh_tw#read
棲蘭山檜木林,Cilan Mountain Cypress Forest ,https://twh.boch.gov.tw/taiwan/summary.aspx?id=9&lang=zh_tw#read
臺鐵舊山線,Old Mountain Line Railway,https://twh.boch.gov.tw/taiwan/summary.aspx?id=3&lang=zh_tw#read
太魯閣國家公園,Taroko National Park ,https://twh.boch.gov.tw/taiwan/summary.aspx?id=2&lang=zh_tw#read
"阿里山森林鐵路",Alishan Forest Railway,https://twh.boch.gov.tw/taiwan/summary.aspx?id=7&lang=zh_tw#read
玉山國家公園,Yushan National Park,https://twh.boch.gov.tw/taiwan/summary.aspx?id=4&lang=zh_tw#read
烏山頭水庫及嘉南大圳,Wushantou Reservoir and Jinan Irrigation Waterways ,https://twh.boch.gov.tw/taiwan/summary.aspx?id=17&lang=zh_tw#read
卑南遺址與都蘭山,Beinan Site and Mt. Dulan,https://twh.boch.gov.tw/taiwan/summary.aspx?id=5&lang=zh_tw#read
澎湖玄武岩自然保留區,Penghu Columnar Basalt Nature Reserve ,https://twh.boch.gov.tw/taiwan/summary.aspx?id=10&lang=zh_tw#read
排灣族及魯凱族石板屋聚落,Paiwan and Rukai Settlements of Slate Constructions,https://twh.boch.gov.tw/taiwan/summary.aspx?id=16&lang=zh_tw#read
"澎湖石滬群",Penghu Stone Fish Weirs,https://twh.boch.gov.tw/taiwan/summary.aspx?id=13&lang=zh_tw#read
蘭嶼聚落與自然景觀,Orchid Island and the Tao (Yami) ,https://twh.boch.gov.tw/taiwan/summary.aspx?id=11&lang=zh_tw#read
